wordname,pos,freq,meaning,language
python,noun,169544,ニシキヘビ,python
module,noun,158648,基本単位、モジュール,python
method,noun,107700,方法,python
function,noun,94387,機能,python
object,noun,93441,物,python
class,noun,76875,種類,python
title,noun,68702,題名,python
value,noun,68268,価値,python
file,noun,65637,ファイル,python
type,noun,59816,型,python
name,noun,52833,名,python
argument,noun,51645,議論,python
version,noun,50430,説明、バージョン,python
string,noun,44124,ひも、文字列,python
attribute,noun,41492,属性,python
return,noun,40780,帰り,python
code,noun,36681,符号,python
index,noun,36418,索引,python
example,noun,34529,例,python
line,noun,34495,線,python
default,noun,33829,既定、(義務などの)不履行,python
exception,noun,33697,例外,python
documentation,noun,32455,証拠資料,python
list,noun,31463,一覧表,python
data,noun,31451,データ,python
error,noun,31441,誤り,python
path,noun,30913,小道,python
message,noun,28725,伝言,python
option,noun,28030,選択肢,python
import,noun,27593,輸入,python
test,noun,27253,試験,python
http,noun,26707,ハイパーテキスト転送プロトコル,python
number,noun,26286,数,python
self,noun,26211,自身,python
byte,noun,26181,バイト,python
window,noun,25701,窓,python
instance,noun,24867,実例、事例,python
time,noun,24195,時間,python
patch,noun,23957,あて布,python
command,noun,23773,命令,python
socket,noun,21570,受け口,python
support,noun,21483,支援,python
call,noun,20762,呼び声、通話,python
parameter,noun,19761,媒介変数,python
parser,noun,19397,構文解析プログラム,python
character,noun,19030,性格、特性,python
library,noun,18988,図書館,python
source,noun,18522,源泉,python
print,noun,18100,印刷,python
api,noun,17879,アプリケーションプログラミングインターフェース,python
format,noun,17863,方式,python
handler,noun,17829,(…を)(取り)扱う人,python
reference,noun,17812,参照文,python
accesskey,noun,17582,アクセスキー,python
table,noun,16840,テーブル,python
email,noun,16573,eメール,python
key,noun,16322,かぎ,python
package,noun,16227,小包,python
set,noun,16223,ひと組,python
software,noun,16045,ソフトウェア,python
style,noun,15881,様式,python
application,noun,15802,応用,python
use,noun,15424,使用,python
TRUE,noun,15368,真実,python
system,noun,15329,機構、体系,python
process,noun,15187,過程,python
bug,noun,15083,昆虫、欠陥,python
directory,noun,15064,ディレクトリ,python
context,noun,14906,文脈,python
note,noun,14745,記録,python
mock,noun,14546,あざけりの的、ex: 町の笑いもの,python
fix,noun,14409,苦境,python
search,noun,14226,探索,python
server,noun,14031,サーバー,python
expression,noun,13985,表現,python
header,noun,13824,ヘッダー,python
mode,noun,13691,方法、様式,python
foundation,noun,13595,基礎,python
result,noun,13559,結果,python
case,noun,13406,場合,python
width,noun,13298,幅,python
level,noun,13168,水準,python
flag,noun,13076,旗,python
user,noun,12981,ユーザー,python
implementation,noun,12976,実行,python
change,noun,12916,変化,python
output,noun,12883,出力,python
statement,noun,12647,述べること,python
request,noun,12562,要請,python
sequence,noun,12428,連続,python
protocol,noun,12355,規約,python
decimal,noun,12307,十進法の,python
top,noun,12186,頂上,python
foo,noun,12031,フー。fooとは、Peter Pawlowskiによって開発されたオーディオプレーヤーソフトウェア「foobar2000」におけるデータベース機能で用いられるデータベースのファイルに付く拡張子,python
extension,noun,12008,拡張,python
element,noun,11936,要素,python
pep,noun,11928,元気、気力,python
thread,noun,11920,糸、スレッド,python
content,noun,11839,中身,python
standard,noun,11815,標準,python
text,noun,11660,本文,python
item,noun,11550,項目,python
loop,noun,11548,ループ,python
event,noun,11478,出来事,python
ssl,noun,11415,セキュアソケットレイヤー,python
information,noun,11380,情報,python
interface,noun,11375,境界面,python
tuple,noun,10988,タプル,python
input,noun,10868,入力,python
variable,noun,10804,変数,python
platform,noun,10696,(駅の)プラットホーム、場,python
turtle,noun,10602,カメ,python
middle,noun,10506,真ん中,python
memory,noun,10432,記憶,python
interpreter,noun,10428,解釈者,python
margin,noun,10381,余白,python
chapter,noun,10362,章,python
operation,noun,10361,運転,python
navigation,noun,10331,航海,python
curse,noun,10248,のろい,python
point,noun,10174,点,python
topic,noun,10030,話題,python
size,noun,9828,大きさ,python
operator,noun,9610,運転者、操作員,python
collection,noun,9555,収集,python
script,noun,9356,台本、スクリプト,python
field,noun,9324,野原,python
base,noun,9260,基礎、根拠,python
page,noun,9055,ページ,python
generator,noun,9025,発生させる人,python
link,noun,9021,連結,python
section,noun,8949,段落,python
client,noun,8933,依頼人,python
buffer,noun,8899,緩衝器、バッファー,python
traceback,noun,8884,溯ったもの,python
order,noun,8781,順序,python
address,noun,8593,住所,python
start,noun,8514,出発,python
way,noun,8452,道路,python
part,noun,8435,部分,python
keyword,noun,8270,キーワード,python
end,noun,8252,終わり,python
program,noun,8079,プログラム,python
descriptor,noun,8075,記述語、記述子,python
access,noun,7957,接近,python
environment,noun,7902,環境,python
connection,noun,7735,連結(すること),python
help,noun,7726,援助,python
range,noun,7500,範囲,python
bit,noun,7481,小片,python
screen,noun,7463,仕切り、スクリーン,python
warning,noun,7422,警告,python
group,noun,7173,集団,python
array,noun,6990,整列,python
match,noun,6978,調和のとれたもの,python
stream,noun,6974,流れ,python
queue,noun,6935,列,python
manager,noun,6894,支配人,python
block,noun,6893,かたまり,python
state,noun,6837,状態,python
blob,noun,6834,(インクなどの)しみ、(半固体の)小塊、ぼんやりした(形の)もの,python
member,noun,6785,メンバー,python
signal,noun,6578,信号,python
feature,noun,6563,特色,python
release,noun,6541,釈放,python
sphinx,noun,6515,スフィンクス,python
date,noun,6513,日付,python
entry,noun,6499,入ること,python
mailbox,noun,6495,(公共用の)郵便ポスト,python
policy,noun,6486,(会社・個人などの)方針、(一般的な)方策,python
configuration,noun,6426,形状,python
read,noun,6399,読み物,python
locale,noun,6362,場所,python
obj,noun,6338,目的、(攻撃)目標(objectの略語),python
float,noun,6332,浮く物,python
encoding,noun,6278,符号化,python
profit,noun,6263,利益,python
future,noun,6258,将来,python
corporation,noun,6232,法人,python
dictionary,noun,6222,辞書,python
form,noun,6194,形、方式,python
lock,noun,6178,(かぎ で開閉する)錠,python
donation,noun,6162,寄付,python
resource,noun,6161,資源,python
length,noun,6157,長さ,python
addition,noun,6147,追加,python
"""-dom""(名詞語尾)",noun,6143,…の地位(freedom)、…権(kingdom),python
copy,noun,6116,写し,python
constructor,noun,6063,建設(業)者,python
structure,noun,6045,構造,python
language,noun,5984,言語,python
copyright,noun,5970,著作権、版権、コピーライト,python
control,noun,5941,制御,python
detail,noun,5874,細部,python
bar,noun,5856,棒,python
count,noun,5855,総数,python
callback,noun,5839,(自動車などの欠陥製品修理のための、メーカーの)製品回収,python
stat,noun,5799,統計学、statisticsの略,python
tool,noun,5784,道具,python
i/o,noun,5712,input/output,python
pattern,noun,5706,型、様式,python
errno,noun,5692,エラー番号,python
document,noun,5680,文書,python
task,noun,5573,仕事,python
show,noun,5513,見せること,python
iterator,noun,5434,コレクションあるいはコンテナの各要素に対する繰り返し処理の抽象化,python
seeing,noun,5406,見ること,python
sax,noun,5395,サックス、サキソフォーン,python
namespace,noun,5387,名前空間,python
timeout,noun,5379,中断,python
setup,noun,5355,構成,python
frame,noun,5353,骨組み,python
medium,noun,5350,手段,python
target,noun,5271,標的、的,python
url,noun,5236,ユニフォームリソースロケータ,python
parse,noun,5193,構文解析,python
inspection,noun,5179,精査、検査,python
action,noun,5114,活動,python
token,noun,5061,しるし、トークン,python
definition,noun,5028,定義,python
par,noun,5015,同等,python
node,noun,4990,交点、結節点,python
constant,noun,4942,定数,python
debug,noun,4924,プログラムの欠陥の除去,python
pickle,noun,4891,(塩・酢の)漬物、ピクルス,python
zero,noun,4882,(アラビア数字の) 0,python
usage,noun,4835,使用法,python
syntax,noun,4819,統語論、シンタックス,python
pointer,noun,4790,さす人,python
representation,noun,4758,表現、描写,python
math,noun,4746,数学,python
host,noun,4673,(客をもてなす)主人(役)、ホスト,python
distribution,noun,4646,配分、分配,python
widget,noun,4619,(名称のわからない)何とか部品,python
license,noun,4615,免許,python
stack,noun,4596,積み重ね,python
root,noun,4539,(植物の)根,python
mapping,noun,4529,地図作成、関数,python
random,noun,4488,でたらめの,python
raise,noun,4483,(高く)持ち上げる、掲げる,python
hash,noun,4477,こま切れ肉料理、「ハヤシ肉」料理、寄せ集め,python
behavior,noun,4462,ふるまい、態度,python
child,noun,4431,子供,python
prefix,noun,4416,接頭辞,python
core,noun,4400,(ナシ・リンゴなどの)芯(しん),python
"""macro-""(連結系)",noun,4337,「大きい」「長い」の意,python
database,noun,4319,データベース,python
custom,noun,4305,慣習,python
json,noun,4303,JavaScript Object Notation,python
exit,noun,4287,出口,python
filter,noun,4218,フィルター,python
try,noun,4218,努力、試み,python
shell,noun,4174,貝殻,python
comparison,noun,4164,比較,python
failure,noun,4162,失敗,python
aria,noun,4152,アリア、詠唱,python
stdout,noun,4137,標準出力,python
condition,noun,4129,状態,python
port,noun,4123,港,python
check,noun,4077,監視,python
yield,noun,4065,産出,python
mime,noun,4052,身ぶり、手ぶり,python
zip,noun,4030,ファスナー、チャック,python
formatter,noun,3991,書式整形,python
site,noun,3912,敷地、場,python
tree,noun,3897,樹木,python
service,noun,3892,奉仕,python
struct,noun,3832,《C言語》構造体,python
property,noun,3824,資産、所有権,python
color,noun,3800,色,python
configuration,noun,3798,地形、構造,python
update,noun,3781,最新化,python
writing,noun,3774,書くこと,python
position,noun,3761,位置,python
place,noun,3754,場所、所、(抽象概念としての)空間,python
trace,noun,3736,跡、足跡,python
work,noun,3734,仕事、作業,python
void,noun,3716,虚空、無限,python
stdin,noun,3699,標準入力,python
response,noun,3686,返答、応答,python
www,noun,3674,ワールドワイドウェブ,python
coroutine,noun,3662,コルーチン,python
network,noun,3659,網状のもの,python
pour,noun,3624,注ぐこと,python
description,noun,3617,記述、(物品・計画などの)説明書,python
signature,noun,3561,署名、サイン,python
pool,noun,3524,水たまり,python
info,noun,3481,情報(infomation),python
execution,noun,3470,実行、遂行,python
record,noun,3468,記録,python
fraction,noun,3419,破片,python
stderr,noun,3415,標準エラー,python
async,noun,3413,非同期,python
conversion,noun,3412,転換(すること),python
parent,noun,3402,親,python
handling,noun,3358,扱うこと、操作,python
pipe,noun,3350,管、筒,python
log,noun,3337,丸太、(実験・業務などの)記録,python
word,noun,3277,語、単語,python
enum,noun,3257,列挙型,python
transport,noun,3245,輸送,python
rule,noun,3232,規則,python
hello,noun,3228,よろしく,python
problem,noun,3201,問題,python
effect,noun,3191,効果、影響,python
comment,noun,3170,論評,python
space,noun,3167,空間、(地球気圏外の)宇宙,python
decorator,noun,3160,装飾者,python
body,noun,3109,(人間・動物の)身体,python
pair,noun,3088,(同種の二つ(と考えられるもの)から成る)一対,python
compiler,noun,3081,編集者、コンパイラー,python
addition,noun,3070,付加、足し算,python
clause,noun,3022,節、(条約・法律の)条項,python
clinic,noun,2999,(病院・医科大学の付属)診療所,python
assignment,noun,2993,(学生の)宿題、割り当てられた仕事,python
literal,noun,2970,文字(上)の、文字どおりの,python
calendar,noun,2950,カレンダー,python
equivalent,noun,2940,同等物,python
spam,noun,2934,無差別に掲示されるメッセージ、くずメール,python
alias,noun,2924,別名,python
certificate,noun,2922,証明書,python
csv,noun,2920,comma separated value,python
year,noun,2919,年,python
status,noun,2880,(社会的)地位,python
cursor,noun,2878,(コンピューターなどの)カーソル,python
handle,noun,2875,取っ手、ハンドル,python
uuid,noun,2868,汎用固有識別コード,python
load,noun,2842,積み荷,python
installation,noun,2839,就任、取り付け,python
limit,noun,2813,極限、限度,python
compatibility,noun,2807,適合性,python
security,noun,2803,安全,python
sub,noun,2792,代理人,python
cookie,noun,2791,クッキー、菓子パン,python
digit,noun,2781,(個々の)アラビア数字,python
thing,noun,2750,(有形の)物,python
identifier,noun,2731,識別子,python
machinery,noun,2720,機械(類),python
issue,noun,2701,問題点,python
symbol,noun,2689,象徴,python
utility,noun,2679,効用、公益事業(体),python
location,noun,2669,位置,python
statistic,noun,2661,統計値,python
compile,noun,2657,機械語に翻訳すること、編集,python
availability,noun,2657,利用できること、有効、入手可能,python
fill,noun,2656,存分、おなか一杯,python
annotation,noun,2644,注釈,python
etc,noun,2620,…など、その他,python
display,noun,2603,展示、陳列,python
offset,noun,2580,相殺するもの、埋め合わせ,python
crash,noun,2579,衝突,python
mark,noun,2577,跡、記号,python
slice,noun,2574,断片,python
wait,noun,2542,待つこと,python
second,noun,2528,第2位,python
garbage,noun,2514,ごみ、不要データ,python
map,noun,2501,地図,python
difference,noun,2495,違い,python
compression,noun,2490,圧縮,python
split,noun,2472,分裂,python
initialization,noun,2461,初期化,python
domain,noun,2448,領地、領土,python
setting,noun,2446,調節、調節点,python
creation,noun,2445,創造,python
tab,noun,2437,タブ、襟づり、つまみ,python
run,noun,2436,走ること,python
algorithm,noun,2429,演算法,python
spec,noun,2412,思わく、投機,python
encode,noun,2408,暗号に書き直す,python
append,noun,2403,付加,python
side,noun,2399,側(がわ),python
menu,noun,2397,献立表、メニュー,python
label,noun,2380,はり紙,python
tag,noun,2375,付け札,python
store,noun,2352,貯蔵,python
slot,noun,2350,溝(みぞ),python
step,noun,2350,(足の運びとしての)歩み,python
day,noun,2348,(日の出から日没までの)日中、昼(間),python
newline,noun,2347,新路線,python
make,noun,2329,~製,python
sample,noun,2313,標本,python
suite,noun,2308,組、揃(そろ)い,python
hook,noun,2301,鉤(かぎ)、ホック,python
join,noun,2297,接合箇所,python
meaning,noun,2286,意味,python
stop,noun,2285,停止,python
password,noun,2283,合い言葉,python
cache,noun,2260,隠し場、貯蔵所,python
right,noun,2258,正当、権利,python
world,noun,2258,世界、地球,python
processing,noun,2253,加工、処理,python
writer,noun,2252,作家、著者,python
history,noun,2245,歴史,python
purpose,noun,2205,目的,python
column,noun,2203,柱、縦列,python
finder,noun,2201,発見者,python
escape,noun,2200,逃亡、脱出,python
tar,noun,2199,(たばこの)タール、やに,python
glob,noun,2196,かたまり,python
implement,noun,2193,道具、用具,python
something,noun,2192,何か、あるもの,python
component,noun,2188,構成要素,python
dump,noun,2178,ゴミ捨て場、ゴミの山,python
counter,noun,2168,カウンター、計算器,python
archive,noun,2154,記録保管所,python
one,noun,2142,一つ、一人,python
meaning,noun,2141,意味,python
runtime,noun,2134,ランタイム,python
performance,noun,2119,演奏、演技,python
victor,noun,2117,勝利者,python
scheme,noun,2106,計画,python
worker,noun,2102,働く人,python
chunk,noun,2093,大きいかたまり,python
