wordname,pos,freq,meaning,language
use,verb,103790,使用する,python
return,verb,49447,帰る、戻る,python
call,verb,35080,(…に)呼び掛ける,python
create,verb,30383,創造する,python
raise,verb,25987,(高く)持ち上げる、掲げる,python
set,verb,24304,置く,python
add,verb,23325,追加する,python
contribute,verb,20277,(…に)寄付する、貢献する,python
change,verb,19663,変化する,python
specify,verb,18989,明示する,python
provide,verb,18729,供給する,python
support,verb,18604,支える,python
see,verb,17384,(…を)見る、調べる,python
define,verb,16810,定義する,python
write,verb,16624,書く,python
contain,verb,15653,(…を)(内に)含む、包含する,python
give,verb,15643,与える、提供する,python
make,verb,15456,(創造して)作る、造る,python
log,verb,15033,〈木を〉切って丸太にする、〈…の〉記録を出す,python
pass,verb,14855,通過する,python
run,verb,14558,走る,python
include,verb,12348,(…を)含む,python
encode,verb,12293,暗号に書き直す,python
remove,verb,11353,取り去る,python
get,verb,10778,受け取る,python
allow,verb,10542,(…を)許す,python
need,verb,10135,必要,python
implement,verb,10002,道具,python
find,verb,9150,見つけ出す,python
read,verb,8820,読む,python
le(接尾辞),verb,8664,「反復」を表わす動詞を造る。sparkle、 babble,python
build,verb,8511,建てる,python
take,verb,8276,(…を)取る,python
update,verb,7910,(…を)最新のものにする,python
deprecate,verb,7900,(…を)非難する,python
handle,verb,7676,扱う,python
represent,verb,7647,代表する、代理する,python
exist,verb,7483,存在する,python
require,verb,7364,必要とする,python
base,verb,7208,〔…に〕〈…の〉基礎を置く,python
follow,verb,7056,従う,python
please,verb,6847,喜ばせる、楽しませる,python
start,verb,6805,出発する、始まる,python
work,verb,6782,仕事をする、働く,python
accept,verb,6719,受け入れる,python
report,verb,6567,(…を)報告する,python
execute,verb,6431,実行する、遂行する,python
name,verb,6345,名をつける,python
convert,verb,6343,(…を)(…に)変える、転換する,python
want,verb,6153,(…が)欲しい,python
string,verb,6146,〈…を〉糸に通す、数珠なりにする,python
match,verb,5956,似合う,python
replace,verb,5897,(…に)取って代わる、(…を)(…と)取り替える,python
check,verb,5802,〈…を〉調べる，点検する,python
object,verb,5754,〔…に〕反対する,python
mean,verb,5674,意味する,python
describe,verb,5594,(…を)言葉で述べる、記述する,python
parse,verb,5314,品詞・文法的関係を説明する、解剖する,python
fix,verb,5290,(…を)(…に)固定する,python
import,verb,5279,(…へ)輸入する、(…に)持ち込む,python
type,verb,5198,分類する,python
generate,verb,5025,引き起こす、発生させる,python
send,verb,4979,送る、届ける,python
open,verb,4908,あける,python
cause,verb,4764,〈…を〉引き起こす,python
ignore,verb,4749,(…を)無視する,python
store,verb,4621,〈…を〉蓄える，備蓄する,python
thread,verb,4579,〈針に〉糸を通す,python
print,verb,4402,印刷する,python
expect,verb,4396,予期する,python
indicate,verb,4385,(…を)指し示す、(…を)指摘する,python
instal,verb,4165,使用するために置く、置く,python
close,verb,4121,閉じる,python
produce,verb,3984,製造する、生産する,python
modify,verb,3945,修正する、(部分的に)変更する,python
format,verb,3908,〈…を〉フォーマットに入れる,python
enable,verb,3889,可能にさせる、できるようにする,python
fail,verb,3834,失敗する、しくじる,python
compile,verb,3799,(編集のために)集める、機械語に翻訳する,python
show,verb,3733,見せる、示す,python
block,verb,3719,ふさぐ、妨害[ブロック]する,python
look,verb,3665,見る、(注意して)見る,python
test,verb,3560,〈…を〉試験する、検査する,python
depend,verb,3551,(…を)頼る、依存する,python
result,verb,3426,結果として生じる,python
receive,verb,3424,受け取る,python
leave,verb,3423,去る、出発する,python
know,verb,3402,知る、知っている,python
try,verb,3336,(…を)努力する、やってみる,python
occur,verb,3306,(…に)起こる、生じる,python
perform,verb,3205,行なう,python
determine,verb,3186,決心する,python
load,verb,3170,〔ものを〕〈テーブルに〉どっさり載せる、〔内容などを〕〈本に〉どっさり詰め込む,python
display,verb,3167,展示する,python
compare,verb,3155,比較する,python
initialize,verb,3154,初期化する,python
supply,verb,3115,供給する,python
consider,verb,3078,よく考える、熟考する,python
decode,verb,3064,(…の)暗号を解く、平文に直す,python
avoid,verb,3001,避ける,python
warn,verb,2992,警告する,python
sort,verb,2954,分類する,python
apply,verb,2903,(…に)適用する,python
share,verb,2860,分配する,python
improve,verb,2836,(…を)改良する,python
extend,verb,2799,広げる、拡張する,python
go,verb,2768,行く,python
override,verb,2739,無視する、優先する,python
invoke,verb,2708,祈願する、(…を)発動する,python
access,verb,2654,接近する,python
correspond,verb,2648,一致する,python
list,verb,2641,〈…を〉表にする,python
inherit,verb,2630,受け継ぐ,python
control,verb,2624,支配する,python
appear,verb,2592,姿を見せる,python
delete,verb,2539,(…を)削除する,python
float,verb,2495,(水上に)浮く,python
hold,verb,2459,(手に)持つ、握る,python
copy,verb,2456,コピーする,python
allocate,verb,2319,配分する,python
assume,verb,2295,思いこむ,python
retrieve,verb,2283,(…を)取り戻す、回収する,python
map,verb,2282,地図を作る,python
keep,verb,2281,取っておく,python
process,verb,2269,〈情報・データを〉処理する,python
assign,verb,2262,割り当てる,python
associate,verb,2219,(…と)関係づける,python
end,verb,2218,〈…を〉終える,python
search,verb,2218,捜索する、探る,python
wait,verb,2208,待つ,python
let,verb,2164,させる、させてください,python
select,verb,2138,選ぶ,python
license,verb,2130,認可する,python
underlie,verb,2110,(…の)基礎となる,python
pour,verb,2097,注ぐ,python
embed,verb,2093,はめ込む、埋め込む,python
debug,verb,2060,害虫を除く、欠陥を直す,python
miss,verb,2052,取りそこなう、取り逃がす,python
wrap,verb,2045,(…に)包む、おおい隠す,python
lead,verb,2037,(…に)導く,python
save,verb,2016,救う,python
expand,verb,2004,広げる,python
attribute,verb,2003,(…に)帰する,python
introduce,verb,2003,紹介する,python
omit,verb,1993,(…を)省く、省略する,python
ensure,verb,1977,確実にする,python
affect,verb,1939,(…に)影響を及ぼす,python
compute,verb,1929,計算する、(…と)見積もる、(…を)電算機で計算する,python
become,verb,1916,(…に)なる,python
acquire,verb,1909,(努力して)得る、習得する,python
put,verb,1904,置く,python
derive,verb,1888,(…を)引き出す,python
interpret,verb,1873,(…を)解釈する,python
intend,verb,1862,意図する,python
terminate,verb,1847,終える,python
release,verb,1824,釈放する,python
prevent,verb,1822,(…を)起こらないようにする,python
happen,verb,1776,起こる,python
remain,verb,1770,残る,python
bind,verb,1743,(…で)縛る,python
round,verb,1743,回る,python
refer,verb,1740,(…に)言及する,python
construct,verb,1724,(…を)組み立てる,python
register,verb,1709,登録する,python
treat,verb,1696,取り扱う,python
configure,verb,1684,設定する,python
attempt,verb,1652,試みる,python
move,verb,1650,(…を)動かす,python
accord,verb,1642,一致する,python
evaluate,verb,1641,評価する,python
detect,verb,1636,検出する,python
quote,verb,1616,引用する,python
continue,verb,1615,続ける,python
stop,verb,1599,止める,python
break,verb,1596,切断する、割る,python
emit,verb,1593,放射する、(電波で)送る,python
disable,verb,1592,できなくする,python
pickle,verb,1568,塩水[酢]に漬ける,python
document,verb,1555,証拠書類を提供する,python
expose,verb,1555,(…を)さらす,python
request,verb,1555,要請する,python
default,verb,1541,義務を怠る、(裁判に)欠席する,python
help,verb,1531,助ける,python
insert,verb,1519,挿入する,python
point,verb,1514,〔…に〕向ける,python
reduce,verb,1485,減少させる,python
operate,verb,1482,働く、仕事をする,python
customize,verb,1478,注文に応じて作る,python
separate,verb,1464,離す、切り離す,python
append,verb,1463,付加する,python
catch,verb,1458,つかまえる,python
preserve,verb,1448,保存する,python
optimize,verb,1446,できるだけ能率的に利用する,python
identify,verb,1429,(…を)確認する、(…と)同一であるとみなす,python
obtain,verb,1412,得る,python
collect,verb,1405,集める,python
encounter,verb,1399,(偶然)出会う,python
true,verb,1395,正しく合わせる,python
skip,verb,1386,跳ね回る、スキップする,python
nest,verb,1380,巣を作る,python
choose,verb,1362,選ぶ、選択する,python
declare,verb,1349,(…を)宣言する,python
exit,verb,1345,立ち去る,python
come,verb,1335,来る,python
combine,verb,1299,(…を)結合する,python
press,verb,1285,押す、プレスする,python
buffer,verb,1273,やわらげる，緩和する,python
recommend,verb,1268,推薦する,python
instantiate,verb,1266,例示する,python
connect,verb,1261,連結する,python
say,verb,1257,(…と)言う,python
begin,verb,1243,始める,python
manage,verb,1239,どうにかしてする、うまくする,python
link,verb,1236,…を〈…と〉連結する,python
fill,verb,1235,いっぱいにする,python
distribute,verb,1235,(…に)分配する,python
guarantee,verb,1220,保証する,python
consume,verb,1219,(…を)消費する,python
turn,verb,1211,回転させる,python
extract,verb,1201,抜く,python
recognize,verb,1196,(…を)認める,python
cancel,verb,1196,取り消す、キャンセルする,python
resolve,verb,1177,決意する、解決する,python
iterate,verb,1173,(…を)繰り返す,python
complete,verb,1161,〈…を〉完了する,python
trail,verb,1159,…を追跡する,python
mark,verb,1135,〈…に〉印をつける,python
reach,verb,1129,達する,python
install,verb,1125,(…に)取り付ける,python
compress,verb,1117,(…を)圧縮する,python
yield,verb,1117,産する、生む,python
succeed,verb,1116,成功する,python
clear,verb,1107,〈…を〉きれいにする,python
restore,verb,1105,修復する,python
limit,verb,1095,限定する,python
maintain,verb,1093,維持する,python
reference,verb,1084,(…に)言及する,python
reset,verb,1074,(…を)置き直す,python
relate,verb,1032,(…を)(…と)関係させる,python
behave,verb,1031,(…に)ふるまう,python
trigger,verb,1019,きっかけとなる,python
locate,verb,1013,(…に)置く,python
enter,verb,1010,入る,python
finish,verb,1008,(…を)終える,python
design,verb,995,設計する,python
tell,verb,987,告げる、言う,python
patch,verb,967,〈…を〉応急に直す[修繕する],python
lock,verb,949,かぎをかける,python
cover,verb,949,(…の)表面をおおう,python
win,verb,947,勝つ,python
simplify,verb,942,(…を)簡単にする,python
program,verb,935,〈…を〉計画する,python
explain,verb,930,説明する,python
sign,verb,922,〈…に〉署名する,python
track,verb,918,追跡する,python
consist,verb,917,成る、(…に)(本質的に)存する,python
offer,verb,886,提供する,python
command,verb,873,(…を)命令する、命じる,python
repeat,verb,867,繰り返す,python
signal,verb,867,〈…に〉合図する,python
restrict,verb,863,制限する,python
upgrade,verb,860,(…の)等級を上げる,python
tokenize,verb,853,トークン化,python
suppress,verb,849,抑圧する、隠す,python
note,verb,842,〈…を〉書き留める,python
involve,verb,840,巻き込む,python
borrow,verb,835,借りる,python
cache,verb,835,貯蔵する,python
reserve,verb,833,(…を)取っておく,python
order,verb,830,〈…を〉命じる,python
file,verb,824,とじ込む、ファイルする,python
escape,verb,818,逃げる,python
serialize,verb,805,順番に並べる、シリアル化する,python
rename,verb,802,(…を)新たに命名する,python
truncate,verb,795,切り縮める,python
exclude,verb,790,締め出す,python
rely,verb,785,頼る,python
place,verb,784,(…に)配置する,python
schedule,verb,784,〈…を〉予定(表)に組み込む,python
trace,verb,779,追跡する,python
reverse,verb,778,逆にする,python
cod,verb,776,〈…を〉もじる，からかう,python
calculate,verb,770,計算する,python
ask,verb,759,尋ねる,python
prefer,verb,751,むしろ(…の)ほうを好む,python
strip,verb,749,はぐ、むく,python
deal,verb,749,(…を)分配する,python
finalize,verb,748,完成させる,python
attach,verb,733,取りつける,python
fall,verb,725,落ちる,python
interrupt,verb,722,中断する,python
switch,verb,721,切り替えをする,python
pend,verb,721,未決定のままである,python
gain,verb,721,得る,python
lose,verb,720,失う,python
clean,verb,719,〈…を〉清潔[きれい]にする,python
mock,verb,719,あざ笑う、まねてあざける,python
orient,verb,713,方向づける,python
precede,verb,705,(…の)先に立つ,python
manipulate,verb,697,(手で)巧みに扱う、操縦する,python
fetch,verb,696,取ってくる,python
desire,verb,694,(…を)強く望む,python
serve,verb,690,奉公する,python
issue,verb,689,出す、刊行する、出版する,python
dump,verb,687,(…に)投げ捨てる、どさりと下ろす,python
group,verb,687,寄せ集める,python
join,verb,672,結合する,python
decorate,verb,671,(…を)(…で)飾る,python
wish,verb,660,思う,python
verify,verb,656,正しいことを確かめる,python
edit,verb,649,編集する,python
free,verb,648,解放する,python
split,verb,646,割る,python
profile,verb,646,側面を描く,python
retain,verb,644,維持する,python
enclose,verb,641,取り囲む,python
await,verb,633,(…を)待つ、待ち受ける,python
unpack,verb,628,解いて中身を出す,python
understand,verb,628,理解する,python
annotate,verb,626,注釈をつける,python
record,verb,608,(…を)記録する,python
capture,verb,594,捕らえる,python
discard,verb,592,(…を)捨てる,python
propagate,verb,592,(…を)繁殖させる,python
permit,verb,591,許す,python
pack,verb,589,〈ものを〉詰める、梱包する,python
shift,verb,588,移し変える,python
learn,verb,586,学ぶ、覚える,python
express,verb,582,表現する,python
translate,verb,581,(…へ)訳す,python
mention,verb,577,(…に)言及する,python
force,verb,568,強引に押し進める,python
speed,verb,566,急ぐ、疾走する,python
form,verb,562,形づくる、形成する,python
pad,verb,562,詰め物をする,python
chain,verb,560,鎖でつなぐ、縛りつける,python
slice,verb,559,〈…を〉薄く切る,python
sched,verb,553,《略語》schedule（予定）の短縮形,python
reflect,verb,552,反射する,python
augment,verb,552,(…を)増加させる,python
increase,verb,550,(数量・程度などが)ふえる,python
export,verb,549,(…へ)輸出する、(外へ)伝える,python
rewrite,verb,544,(…を)書き直す,python
complicate,verb,540,複雑にする,python
count,verb,538,数え上げる,python
drop,verb,538,〈ものが〉落ちる,python
transform,verb,537,変形させる,python
destroy,verb,533,破壊する,python
offset,verb,533,(…を)差引勘定する、相殺する,python
loop,verb,532,〈ひもなどを〉輪にする,python
present,verb,530,提出する、公開する,python
suggest,verb,530,提案する,python
hash,verb,519,細かに切る、めちゃくちゃにする,python
resize,verb,516,大きさを変更する,python
flush,verb,506,ぱっと赤らむ、顔を赤くする,python
conform,verb,501,従う,python
resume,verb,499,(中断した後に)再び始める,python
play,verb,499,遊ぶ,python
differ,verb,498,違う,python
launch,verb,497,乗り出す,python
indent,verb,496,(…に)ぎざぎざをつける、他の行より下げて印刷する、インデントする,python
query,verb,495,質問する、尋ねる,python
inspect,verb,493,(…を)詳しく調べる,python
demonstrate,verb,490,論証する,python
vary,verb,488,(…を)変える,python
fit,verb,486,適する,python
develop,verb,482,(…を)(…に)発達させる,python
achieve,verb,482,成し遂げる,python
examine,verb,482,(…を)調査する,python
remember,verb,479,思い出す,python
